Name,Phone,Rating,Address,Street.Address,City,Categories,Review.Count,Latitude,Longitude,Reviews,source,Authenticity,Restaurant,chain,Bubble Tea_ind,Coffee & Tea_ind,Juice Bars & Smoothies_ind,Taiwanese_ind,Tea Rooms_ind,Desserts_ind,Ice Cream & Frozen Yogurt_ind,Shaved Ice_ind,Donuts_ind,Asian Fusion_ind,Vietnamese_ind,Cafes_ind,Bakeries_ind,Ramen_ind,Arcades_ind,Chicken Wings_ind,Sandwiches_ind,Japanese_ind,Waffles_ind,Sushi Bars_ind,Custom Cakes_ind,Dim Sum_ind,Hong Kong Style Cafe_ind,Creperies_ind,Chinese_ind,International Grocery_ind
OMTea Boba & Bites,19198098493,4.5,"3901 Capital Blvd, Raleigh, NC 27604",3901 Capital Blvd,Raleigh,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",57,35.835,-78.5851,"[""My mom loves boba and has been trying to make me love for it for years. I don't like the jelly feel of it. This time she ordered me a mango smoothie with..."", ""I ordered an iced honeydew milk tea with boba and it was delicious! Cute little shop and I can't wait to try the popcorn chickens, they looked so good! Ppl..."", 'I have been craving Matcha boba tea and decided to order delivery from OMTea for lunch. This place is excellent. They offer so many lactose and dairy free...']",raleigh_boba,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Moge Tee - Raleigh,19842009008,4.5,"2304 Hillsborough St, #100, Raleigh, NC 27607",2304 Hillsborough St,Raleigh,Bubble Tea,90,35.78758,-78.66618,"[""One of the best boba I've had in the east! Chewy and fresh. The tea is fragrant too, tho I wish it was stronger in taste.\n\nThe menu is soooo extensive, and..."", ""This is by far my favorite tea house in Raleigh. I've been on a bit of a boba tea kick and have visited so many recently but I keep going back to Moge. \nI..."", ""Out of all the bubble tea chains we've tried in the Triangle (e.g., Cha House, Quickly), Moge Tee has been the best and most consistent in terms of quality...""]",raleigh_boba,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cha House - Raleigh,19195941980,4.5,"3001 Hillsborough St, Ste 108, Raleigh, NC 27607",3001 Hillsborough St,Raleigh,"Bubble Tea, Taiwanese, Coffee & Tea",86,35.78926,-78.67615,"[""Such a cute and clean place, it's well decorated and inviting with a friendly staff, and solid menu. Enough boba options to chose from, and even vegetarian..."", 'I enjoy coming here for lunch. I always get the tofu rice plate and a bubble tea. The plate comes with a boiled egg and steamed broccoli. It feels healthy...', 'Cha House was hit or miss.\n\nPros:\n* Easy online ordering. Phone-friendly user interface.\n* Oolong Classic Milk Tea and Lychee Fruit Tea were good.\n* Pudding...']",raleigh_boba,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Boba Baba,19844650302,4.5,"12102 Bradford Green Sq, Cary, NC 27513",12102 Bradford Green Sq,Cary,"Tea Rooms, Bubble Tea, Desserts",260,35.793695,-78.84598583,"['My go to boba place in the Triangle! Boba is great, the flavors in their drinks are creative and genuine. They are also my go to spot for mochi donuts - my...', 'If you are expecting pure unadulterated matcha and are used to that then you will be disappointed.\nThis Matcha latte with almond milk and 25% sweet was...', ""I heard so much about this place for boba and cream puffs, and was eager to pay it a visit. Unfortunately, I don't think I ordered well and will have to...""]",raleigh_boba,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Champloo Desserts,19196278628,4.5,"8320 Litchford Rd, Ste 150, Raleigh, NC 27604",8320 Litchford Rd,Raleigh,"Desserts, Bubble Tea, Ice Cream & Frozen Yogurt",50,35.89287548,-78.60017194,"[""As soon as you walked in they welcomed you; it's a small cute place; the menu is a big variety and atmosphere is amazing.  Panda themed and great for pics..."", 'What a fun spot! After seeing the photos on Yelp, I knew I had to head in with my son. We went on a Saturday early afternoon and they got busy quickly. The...', 'We were walking around the mall after dinner and found this place. My hubby had some room so we split a birthday themed dessert.  I loved the whole...']",raleigh_boba,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Feng Cha,NA,4.5,"3037 Village Market Pl, Morrisville, NC 27560",3037 Village Market Pl,Morrisville,Bubble Tea,67,35.807003,-78.8180145,"[""I'll start off by saying it's huge. It looked very small from outside but it has plenty of sitting and beautifully decorated. \nI had a hard time making my..."", 'This is by far my FAVORITE bubble tea store in the Triangle. The fruit teas and class milk teas have this aromatic tea flavor and the flavors taste natural....', 'Came here for my birthday last year (sorry, this is a late review!) but I loved my first time! \n\nThe ambiance is modern and warm. If only the space was...']",raleigh_boba,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SweeTea Boba & Ice,19196595638,5,"3651 SW Cary Pkwy, Cary, NC 27513",3651 SW Cary Pkwy,Cary,"Bubble Tea, Desserts, Shaved Ice",28,35.78184651,-78.83817176,"['Love this place! It is the cutest!!!!! Cute plushies and they sell Hello Kitty drink in a can.  A nice place to hang out with a girlfriend, girlfriends or...', '[3.5 stars] \n\nHaiku: SweeTea Boba & Ice\n\nOrder their shave ice.\nRomantic and chic inside\nCute date and friend spot.\n               ---\n\nSweeTea is such a...', ""I've been to boba spots around town and by far, the ambiance beats them all! This place was delightful and trendy, with dusty pink velvet chairs. Definitely...""]",raleigh_boba,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MILKLAB - Smoky Hollow,19195941159,4.5,"526 N West St, Raleigh, NC 27603",526 N West St,Raleigh,"Bubble Tea, Ice Cream & Frozen Yogurt",14,35.78687948,-78.64532381,"['TLDR: Excellent option for boba tea and rolled ice cream. Indoor and outdoor seating. Phenomenal customer service. \n\nAs a fan of their Cary location, I was...', 'Nice location.. Paid street parking.. Enjoyed the Yuzu Tea next time we will ask for NO sweetener and or sugar - it was WAY\n TO SWEET. The Strawberry drink...', ""A fun place we took our kids to for dessert! \n\nThe storefront is very easy to spot, it's facing the street. Parking though, is another story - you can...""]",raleigh_boba,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mochinut,NA,4,"9958 Chapel Hill Rd, Cary, NC 27560",9958 Chapel Hill Rd,Cary,"Donuts, Desserts, Bubble Tea",51,35.815395,-78.821444,"['Fun and funky is the vibe I received after visiting Mochinut! Their concept of mochi based goodness is amazing! I tried their caramel Donut that were...', 'These look like traditional Japanese/Hawaiian poi mochi donuts from the outside, inside tells another story. These are bleached white. Not the purple they...', 'I came here on a Saturday afternoon. The service was excellent and Riley and Rika were friendly (apologies for any misspellings of names). Very nice place...']",raleigh_boba,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bapu Teahouse,NA,3,"4321 Glenwood Ave, Raleigh, NC 27612",4321 Glenwood Ave,Raleigh,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",10,35.84019518,-78.6795293,"['Friendly staff but drinks are just ok. Got the Thai Milk tea with boba. The boba did not appear to have been cooked properly...was hard in the middle.\nThink...', 'Located inside Crabtree Mall-2nd level, across from the Apple Store is Bapu Fresh. Most times when walking by there has been quite a line since Bubble Tea...', ""Walked in here after shopping in the mall. There's always a long line, making me think it must be good. But I was wrong, at least what I ordered was not...""]",raleigh_boba,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
