Name,Phone,Rating,Address,City,Categories,Review Count,Transactions,Authenticity,Wifi
OMTea Boba & Bites,1.92E+10,4.5,3901 Capital Blvd,Raleigh,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",56,"delivery, pickup",0,1
Moge Tee - Raleigh,1.98E+10,4.5,2304 Hillsborough St,Raleigh,Bubble Tea,90,"delivery, pickup",1,1
Cha House - Raleigh,1.92E+10,4.5,3001 Hillsborough St,Raleigh,"Bubble Tea, Taiwanese, Coffee & Tea",85,"delivery, pickup",1,1
Champloo Desserts,1.92E+10,4.5,8320 Litchford Rd,Raleigh,"Desserts, Bubble Tea, Ice Cream & Frozen Yogurt",48,pickup,1,
MILKLAB - Smoky Hollow,1.92E+10,4.5,526 N West St,Raleigh,"Bubble Tea, Ice Cream & Frozen Yogurt",14,,1,
Boba Baba,1.98E+10,4.5,12102 Bradford Green Sq,Cary,"Tea Rooms, Bubble Tea, Desserts",259,delivery,1,
Yaya Tea - Chapel Hill,1.92E+10,4,157 E Franklin St,Chapel Hill,"Bubble Tea, Coffee & Tea, Japanese",90,"delivery, pickup",0,
SweeTea Boba & Ice,1.92E+10,5,3651 SW Cary Pkwy,Cary,"Bubble Tea, Desserts, Shaved Ice",25,,1,
Bowlba Cafe,1.92E+10,5,3607 Falls River Ave,Raleigh,"Thai, Bubble Tea, Noodles",18,,0,
Feng Cha,,4.5,3037 Village Market Pl,Morrisville,Bubble Tea,67,"delivery, pickup",1,
Budacai,1.92E+10,4,120 E Martin St,Raleigh,"Asian Fusion, Bubble Tea, Coffee & Tea",200,"delivery, pickup",0,
Black Ivory Café,1.92E+10,5,3080 Wake Forest Rd,Raleigh,"Coffee & Tea, Bubble Tea, Breakfast & Brunch",38,,0,
Bapu Teahouse,,3,4321 Glenwood Ave,Raleigh,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",10,,1,
Moomoocha,1.98E+10,4,1350 5th Ave,Garner,"Bubble Tea, Cafes",27,delivery,0,
Milk Lab - Cary,1.98E+10,4.5,6418 Tryon Rd,Cary,"Ice Cream & Frozen Yogurt, Bubble Tea, Coffee & Tea",519,delivery,1,
Brecotea,1.92E+10,4,1144 Kildaire Farm Rd,Cary,"Bubble Tea, Coffee & Tea, Bakeries",226,"delivery, pickup",0,
Pho Oxtail,1.98E+10,4.5,3901 Capital Blvd,Raleigh,"Vietnamese, Bubble Tea",122,"delivery, pickup",0,
BAMBU,1.98E+10,4,90 Cornerstone Dr,Cary,"Bubble Tea, Juice Bars & Smoothies, Vietnamese",40,,1,
Quickly Tea House,1.98E+10,4,2604A Hillsborough Rd,Durham,"Bubble Tea, Taiwanese, Ramen",91,"delivery, pickup",0,
Mochinut,,4,9958 Chapel Hill Rd,Cary,"Donuts, Desserts, Bubble Tea",41,"delivery, pickup",0,
Cha House - Cary,1.98E+10,4.5,1319 Kildaire Farm Rd,Cary,"Taiwanese, Bubble Tea, Coffee & Tea",130,"delivery, pickup",1,
Sweet Room,1.92E+10,4,2763 NC-55,Cary,"Desserts, Bubble Tea, Shaved Ice",34,"delivery, pickup",1,
SipCha,1.98E+10,5,407 Emissary Dr,Cary,"Bubble Tea, Tea Rooms, Cafes",24,"delivery, pickup",1,
Boba Brew,1.92E+10,2.5,411 W Morgan St,Raleigh,"Bubble Tea, Juice Bars & Smoothies",38,"delivery, pickup",0,
Kung Fu Tea - Raleigh,,4,10251 Little Brier Creek Ln,Raleigh,"Coffee & Tea, Juice Bars & Smoothies, Bubble Tea",20,"delivery, pickup",1,
Boba Beans Bistro,1.92E+10,4.5,50 Neuse River Pkwy,Clayton,Bubble Tea,13,"delivery, pickup",0,
SipCha,1.92E+10,4.5,1011 Beaver Creek Commons Dr,Apex,"Bubble Tea, Ice Cream & Frozen Yogurt",129,"delivery, pickup",1,
Bep Vietnamese Kitchen,1.92E+10,4.5,300 S Main St,Holly Springs,"Vietnamese, Bubble Tea, Desserts",84,"delivery, pickup",0,
Boba T +,1.92E+10,5,1401 SE Maynard Rd,Cary,Bubble Tea,12,"delivery, pickup",0,
Yaya Tea Durham,1.92E+10,4,807 E Main St,Durham,Bubble Tea,33,"delivery, pickup",0,
Kung Fu Tea - Cary,1.92E+10,4,966 High House Rd,Cary,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",252,delivery,0,
Bapu Fresh,,3.5,9589 Chapel Hill Rd,Morrisville,Bubble Tea,29,"delivery, pickup",1,
Milk Lab - Durham,1.92E+10,4.5,105 W Nc Hwy 54,Durham,"Coffee & Tea, Ice Cream & Frozen Yogurt, Bubble Tea",147,"pickup, delivery",1,
Moge Tee - Durham,1.98E+10,4,760 Ninth Street,Durham,Bubble Tea,93,"pickup, delivery",1,
Quickly-Morrisville,1.98E+10,4,4141 Davis Dr,Morrisville,"Coffee & Tea, Bubble Tea, Juice Bars & Smoothies",138,"pickup, delivery",0,
More Tea,1.92E+10,4.5,806 Perry Rd,Apex,"Desserts, Bubble Tea",13,"pickup, delivery",0,
Frozy,1.92E+10,4,5324 New Hope Commons Dr,Durham,"Juice Bars & Smoothies, Bubble Tea, Ice Cream & Frozen Yogurt",86,delivery,0,
Bapu Tea House,,4.5,1125 W NC-54,Durham,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",4,"pickup, delivery",1,
Moge Tee,1.98E+10,4,151 E Franklin Street,Chapel Hill,Bubble Tea,40,"pickup, delivery",1,
Sharetea - Morrisville,1.92E+10,4,1101 Grace Park Dr,Morrisville,Bubble Tea,4,,1,
The Sweet Tea Cafe,1.92E+10,5,4826 Mt Moriah Rd,Durham,"Bubble Tea, Coffee & Tea",2,,0,
