"Name","Phone","Rating","Address","Street.Address","City","Categories","Price","Review.Count","Hours","Transactions","bubble_tea_ind","taiwanese_ind","desserts_ind","coffee_tea_ind","arcades_ind","chicken_wings_ind","tea_rooms_ind","juice_bars_smoothies_ind","sandwiches_ind","ice_cream_frozen_yogurt_ind","japanese_ind","waffles_ind","cafes_ind","bakeries_ind","dim_sum_ind","hong_kong_style_cafe_ind","sushi_bars_ind","custom_cakes_ind","chinese_ind","soup_ind","wholesalers_ind","chicken_shop_ind","asian_fusion_ind","thai_ind","ramen_ind","breakfast_brunch_ind","creperies_ind","cupcakes_ind","donuts_ind"
"Chun Yang Tea",13477329680,4.5,"133-41 41st Ave, Flushing, NY 11355","133-41 41st Ave","Flushing","Bubble Tea, Taiwanese","$",222,"{}","pickup, delivery",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xing Fu Tang",13473686886,4,"40-52 Main St, Flushing, NY 11345","40-52 Main St","Flushing","Bubble Tea, Desserts, Taiwanese","$",504,"{}","pickup, delivery",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Alley",NA,4,"38-02 Prince St, Flushing, NY 11354","38-02 Prince St","Flushing","Bubble Tea, Coffee & Tea","$$",551,"{}","pickup, delivery",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partea NYC - Flushing",17183589188,4.5,"135-29 Roosevelt Ave, Flushing, NY 11354","135-29 Roosevelt Ave","Flushing","Arcades, Bubble Tea, Chicken Wings","$",215,"{}","pickup, delivery",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Song Tea",17188868254,4,"38-21 Main St, Flushing, NY 11354","38-21 Main St","Flushing","Bubble Tea","$$",88,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiger Sugar",13477324001,4,"136-20 Roosevelt Ave, Ste 12, New World Mall, Flushing, NY 11354","136-20 Roosevelt Ave","Flushing","Bubble Tea, Desserts, Coffee & Tea","$$",765,"{}","pickup, delivery",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Möge Tee - Flushing",17183211188,4,"38-03 Main Street, Flushing, NY 11354","38-03 Main Street","Flushing","Bubble Tea, Tea Rooms","$$",212,"{}","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yi Fang Taiwan Fruit Tea",19293007485,3.5,"135-37 40th Rd, Flushing, NY 11354","135-37 40th Rd","Flushing","Bubble Tea","$$",338,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zaza Tea",NA,4.5,"136-84 Roosevelt Ave, Queens, NY 11354","136-84 Roosevelt Ave","Queens","Bubble Tea","",2,"{}","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Yunique Tea",19288138888,4,"42-01 162nd St, Flushing, NY 11358","42-01 162nd St","Flushing","Bubble Tea","",37,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
