Name,Phone,Rating,Address,Street Address,City,Categories,Price,Review Count,Hours,Transactions
Chun Yang Tea,+13477329680,4.5,"133-41 41st Ave, Flushing, NY 11355",133-41 41st Ave,Flushing,"Bubble Tea, Taiwanese",$,222,{},"pickup, delivery"
Xing Fu Tang,+13473686886,4.0,"40-52 Main St, Flushing, NY 11345",40-52 Main St,Flushing,"Bubble Tea, Desserts, Taiwanese",$,504,{},"pickup, delivery"
The Alley,,4.0,"38-02 Prince St, Flushing, NY 11354",38-02 Prince St,Flushing,"Bubble Tea, Coffee & Tea",$$,551,{},"pickup, delivery"
Partea NYC - Flushing,+17183589188,4.5,"135-29 Roosevelt Ave, Flushing, NY 11354",135-29 Roosevelt Ave,Flushing,"Arcades, Bubble Tea, Chicken Wings",$,215,{},"pickup, delivery"
Song Tea,+17188868254,4.0,"38-21 Main St, Flushing, NY 11354",38-21 Main St,Flushing,Bubble Tea,$$,88,{},"pickup, delivery"
Tiger Sugar,+13477324001,4.0,"136-20 Roosevelt Ave, Ste 12, New World Mall, Flushing, NY 11354",136-20 Roosevelt Ave,Flushing,"Bubble Tea, Desserts, Coffee & Tea",$$,765,{},"pickup, delivery"
Möge Tee - Flushing,+17183211188,4.0,"38-03 Main Street, Flushing, NY 11354",38-03 Main Street,Flushing,"Bubble Tea, Tea Rooms",$$,212,{},
Yi Fang Taiwan Fruit Tea,+19293007485,3.5,"135-37 40th Rd, Flushing, NY 11354",135-37 40th Rd,Flushing,Bubble Tea,$$,338,{},"pickup, delivery"
Zaza Tea,,4.5,"136-84 Roosevelt Ave, Queens, NY 11354",136-84 Roosevelt Ave,Queens,Bubble Tea,,2,{},
The Yunique Tea,+19288138888,4.0,"42-01 162nd St, Flushing, NY 11358",42-01 162nd St,Flushing,Bubble Tea,,37,{},"pickup, delivery"
Teazzi Tea Shop,+19292902888,4.0,"135-17 38th Ave, Flushing, NY 11354",135-17 38th Ave,Flushing,Bubble Tea,$$,88,{},"pickup, delivery"
Sweet Cake,+19293290666,4.5,"137-06 Northern Blvd, Flushing, NY 11354",137-06 Northern Blvd,Flushing,"Desserts, Bubble Tea",$$,72,{},"pickup, delivery"
CoCo Fresh Tea & Juice,+17183218566,3.5,"39-22 Main St, Flushing, NY 11354",39-22 Main St,Flushing,"Coffee & Tea, Juice Bars & Smoothies, Bubble Tea",$,243,{},"pickup, delivery"
Mumu Sweets,+19292648668,5.0,"147-32 Northern Blvd, New York, NY 11354",147-32 Northern Blvd,New York,"Bubble Tea, Desserts",,3,{},
Coffee Story,+19296552224,4.5,"152-22 Northern Blvd, Flushing, NY 11354",152-22 Northern Blvd,Flushing,"Coffee & Tea, Bubble Tea, Sandwiches",$$,38,{},"pickup, delivery"
Yomie's Rice x Yogurt,+19175635676,4.0,"135-28 Roosevelt Ave, Unit B, Flushing, NY 11354",135-28 Roosevelt Ave,Flushing,"Juice Bars & Smoothies, Bubble Tea, Ice Cream & Frozen Yogurt",$$,82,{},"pickup, delivery"
Machi Machi,+13477034976,3.5,"133-36 39th Ave, Flushing, NY 11354",133-36 39th Ave,Flushing,Bubble Tea,,26,{},
Möge Tee,+13473684129,5.0,"157-08 Northern Blvd, New York, NY 11354",157-08 Northern Blvd,New York,Bubble Tea,,2,{},
TSAôCAA,+17183535937,3.0,"38-04 Prince St, Flushing, NY 11354",38-04 Prince St,Flushing,Bubble Tea,,69,{},"pickup, delivery"
M Tea,+17188862566,3.5,"36-56 Main St, Flushing, NY 11354",36-56 Main St,Flushing,"Bubble Tea, Desserts, Juice Bars & Smoothies",$,130,{},"pickup, delivery"
Bing Ling Tea,+17185003788,4.5,"61-18 190th St, Fresh Meadows, NY 11365",61-18 190th St,Fresh Meadows,Bubble Tea,,43,{},"pickup, delivery"
Gong Cha,+17187622874,3.5,"40-06 Union St, Flushing, NY 11354",40-06 Union St,Flushing,Bubble Tea,$,87,{},"pickup, delivery"
Kung Fu Tea,+17183958297,3.5,"136-20 38th Ave, Flushing, NY 11354",136-20 38th Ave,Flushing,"Coffee & Tea, Bubble Tea, Juice Bars & Smoothies",$,289,{},"pickup, delivery"
Sweet Cats Cafe,+19292183130,3.5,"35-21 Farrington St, Flushing, NY 11354",35-21 Farrington St,Flushing,"Arcades, Desserts, Bubble Tea",$$,95,{},delivery
